City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
0,Avarua,CK,-21.2078,-159.775,86.05,74,25,9.22,scattered clouds,2022-03-31 02:14:06
1,Upernavik,GL,72.7868,-56.1549,13.66,84,36,6.44,scattered clouds,2022-03-31 02:14:06
2,Atuona,PF,-9.8,-139.0333,79.07,72,29,12.8,scattered clouds,2022-03-31 02:14:07
3,Vyshchetarasivka,UA,47.5685,34.881,44.98,83,100,11.41,overcast clouds,2022-03-31 02:14:07
4,Tuktoyaktuk,CA,69.4541,-133.0374,-15.48,94,100,8.34,overcast clouds,2022-03-31 02:14:08
5,Port Alfred,ZA,-33.5906,26.891,65.17,76,100,3.8,overcast clouds,2022-03-31 02:14:08
6,Mnogovershinnyy,RU,53.9353,139.9242,21.27,62,5,8.59,clear sky,2022-03-31 02:14:09
7,Longyearbyen,SJ,78.2186,15.6401,6.64,61,0,2.3,clear sky,2022-03-31 02:13:19
8,Albany,US,42.6001,-73.9662,39.61,38,100,4.0,overcast clouds,2022-03-31 02:12:31
9,Port Elizabeth,ZA,-33.918,25.5701,64.31,74,100,1.99,overcast clouds,2022-03-31 02:14:10
10,Lewistown,US,40.5992,-77.5714,50.07,57,0,6.91,clear sky,2022-03-31 02:14:10
11,Airai,TL,-8.9266,125.4092,72.28,60,96,1.74,overcast clouds,2022-03-31 02:14:11
12,Ushuaia,AR,-54.8,-68.3,46.06,81,75,8.05,broken clouds,2022-03-31 02:14:11
13,Mataura,NZ,-46.1927,168.8643,70.95,45,99,4.79,overcast clouds,2022-03-31 02:14:11
14,Tongliao,CN,43.6125,122.2653,39.74,23,100,2.77,overcast clouds,2022-03-31 02:14:12
15,Cape Town,ZA,-33.9258,18.4232,59.11,90,86,1.01,overcast clouds,2022-03-31 02:13:31
16,Rikitea,PF,-23.1203,-134.9692,78.37,77,97,16.82,light rain,2022-03-31 02:09:29
17,Acarau,BR,-2.8856,-40.12,78.44,83,100,9.13,overcast clouds,2022-03-31 02:14:13
18,Ust-Koksa,RU,50.2696,85.6108,18.05,83,19,2.13,few clouds,2022-03-31 02:14:13
19,Coolum Beach,AU,-26.5333,153.1,82.35,68,52,1.01,broken clouds,2022-03-31 02:14:14
20,Hermanus,ZA,-34.4187,19.2345,61.84,82,99,1.88,overcast clouds,2022-03-31 02:14:14
21,New Norfolk,AU,-42.7826,147.0587,57.7,51,99,3.0,overcast clouds,2022-03-31 02:14:14
22,Camacha,PT,33.0833,-16.3333,58.42,77,40,9.22,scattered clouds,2022-03-31 02:14:15
23,Bredasdorp,ZA,-34.5322,20.0403,60.03,81,100,3.13,overcast clouds,2022-03-31 02:14:15
24,Kaitangata,NZ,-46.2817,169.8464,66.4,62,87,4.21,overcast clouds,2022-03-31 02:14:16
25,Hobart,AU,-42.8794,147.3294,58.05,75,75,11.5,broken clouds,2022-03-31 02:09:33
26,Cabo San Lucas,MX,22.8909,-109.9124,70.61,73,20,10.36,few clouds,2022-03-31 02:14:16
27,Laguna,US,38.421,-121.4238,62.4,72,75,8.05,broken clouds,2022-03-31 02:14:17
28,Victoria,HK,22.2855,114.1577,82.45,69,2,11.99,clear sky,2022-03-31 02:11:12
29,Frankfurt,DE,50.1167,8.6833,44.87,83,20,9.22,few clouds,2022-03-31 02:13:05
30,Bonthe,SL,7.5264,-12.505,78.17,93,7,5.21,clear sky,2022-03-31 02:14:18
31,Thompson,CA,55.7435,-97.8558,24.48,93,100,4.34,overcast clouds,2022-03-31 02:13:56
32,Arraial Do Cabo,BR,-22.9661,-42.0278,76.48,91,0,13.11,clear sky,2022-03-31 02:14:19
33,Virginia Beach,US,36.8529,-75.978,63.0,75,40,9.22,scattered clouds,2022-03-31 02:12:58
34,Half Moon Bay,US,37.4636,-122.4286,59.02,79,75,23.02,mist,2022-03-31 02:13:06
35,Betanzos,ES,43.2804,-8.2147,53.1,80,75,4.61,broken clouds,2022-03-31 02:14:19
36,Busselton,AU,-33.65,115.3333,75.36,58,45,15.41,scattered clouds,2022-03-31 02:14:20
37,East London,ZA,-33.0153,27.9116,69.39,84,100,7.38,light rain,2022-03-31 02:14:20
38,Mar Del Plata,AR,-38.0023,-57.5575,49.87,84,100,7.0,overcast clouds,2022-03-31 02:14:21
39,Achacachi,BO,-16.05,-68.6833,41.86,87,39,9.53,scattered clouds,2022-03-31 02:14:21
40,Lebu,CL,-37.6167,-73.65,53.08,82,0,21.3,clear sky,2022-03-31 02:14:22
41,Puerto Ayora,EC,-0.7393,-90.3518,75.54,97,100,5.99,moderate rain,2022-03-31 02:14:22
42,Shimoda,JP,34.6667,138.95,72.1,75,0,18.16,clear sky,2022-03-31 02:14:22
43,Pervoye Maya,RU,56.164,44.7196,13.03,95,99,3.67,overcast clouds,2022-03-31 02:14:23
44,Paamiut,GL,61.994,-49.6678,28.47,81,98,5.03,overcast clouds,2022-03-31 02:14:23
45,Tahe,CN,52.3333,124.7333,30.13,44,12,13.44,few clouds,2022-03-31 02:14:24
46,Mocuba,MZ,-16.8392,36.9856,69.24,97,75,3.15,broken clouds,2022-03-31 02:14:24
47,Saint-Philippe,RE,-21.3585,55.7679,78.39,71,91,15.95,overcast clouds,2022-03-31 02:14:25
48,San Patricio,US,28.017,-97.5169,79.93,26,0,10.22,clear sky,2022-03-31 02:14:25
49,Punta Arenas,CL,-53.15,-70.9167,50.11,57,75,19.57,broken clouds,2022-03-31 02:14:26
50,Tiksi,RU,71.6872,128.8694,-8.68,95,57,3.62,broken clouds,2022-03-31 02:14:26
51,Mgandu,TZ,-5.95,34.1333,60.35,97,100,6.87,light rain,2022-03-31 02:14:26
52,Aksarka,RU,66.5606,67.7975,13.26,95,100,13.35,snow,2022-03-31 02:14:27
53,Lerwick,GB,60.1545,-1.1494,35.6,63,64,19.77,broken clouds,2022-03-31 02:14:27
54,Kiruna,SE,67.8557,20.2251,16.72,79,100,4.61,overcast clouds,2022-03-31 02:14:28
55,Codrington,AU,-38.2667,141.9667,61.34,54,95,20.4,overcast clouds,2022-03-31 02:14:28
56,Tual,ID,-5.6667,132.75,80.49,74,100,4.36,moderate rain,2022-03-31 02:14:29
57,Charters Towers,AU,-20.1,146.2667,89.65,25,47,9.86,scattered clouds,2022-03-31 02:14:29
58,Posse,BR,-14.0931,-46.3694,70.56,56,88,2.51,overcast clouds,2022-03-31 02:14:29
59,Cidreira,BR,-30.1811,-50.2056,60.76,69,97,11.5,overcast clouds,2022-03-31 02:14:30
60,Luderitz,NA,-26.6481,15.1594,62.1,64,0,14.36,clear sky,2022-03-31 02:14:30
61,Castro,BR,-24.7911,-50.0119,63.95,95,100,3.62,overcast clouds,2022-03-31 02:14:31
62,Mahebourg,MU,-20.4081,57.7,79.25,76,92,22.68,light rain,2022-03-31 02:14:31
63,Hithadhoo,MV,-0.6,73.0833,82.45,69,8,5.91,clear sky,2022-03-31 02:14:32
64,Ribeira Grande,PT,38.5167,-28.7,61.29,89,100,5.55,overcast clouds,2022-03-31 02:14:32
65,Bengkulu,ID,-3.8004,102.2655,82.26,69,38,5.99,scattered clouds,2022-03-31 02:14:32
66,Bambanglipuro,ID,-7.95,110.2833,84.18,67,82,1.25,broken clouds,2022-03-31 02:14:33
67,Carndonagh,IE,55.25,-7.2667,34.79,59,2,7.67,clear sky,2022-03-31 02:14:33
68,Ocara,BR,-4.4908,-38.5967,72.7,93,99,3.15,overcast clouds,2022-03-31 02:14:34
69,Vila Franca Do Campo,PT,37.7167,-25.4333,57.61,88,79,2.8,broken clouds,2022-03-31 02:14:34
70,Kudahuvadhoo,MV,2.6708,72.8944,82.08,71,2,3.78,clear sky,2022-03-31 02:14:35
71,Crixas,BR,-14.5489,-49.9692,72.84,88,99,2.48,overcast clouds,2022-03-31 02:14:35
72,Kavieng,PG,-2.5744,150.7967,84.11,74,86,14.12,overcast clouds,2022-03-31 02:14:36
73,Port Hedland,AU,-20.3167,118.5667,93.25,52,41,11.5,scattered clouds,2022-03-31 02:14:36
74,Georgetown,MY,5.4112,100.3354,85.95,74,20,5.75,few clouds,2022-03-31 02:11:09
75,Berlevag,NO,70.8578,29.0864,24.6,71,100,18.28,light snow,2022-03-31 02:14:37
76,Shingu,JP,33.7333,135.9833,70.03,62,100,9.98,overcast clouds,2022-03-31 02:14:37
77,Alwar,IN,27.5667,76.6,81.82,13,0,3.47,clear sky,2022-03-31 02:14:38
78,Singaraja,ID,-8.112,115.0882,85.28,69,39,2.44,scattered clouds,2022-03-31 02:14:38
79,Maceio,BR,-9.6658,-35.7353,76.44,94,40,3.44,scattered clouds,2022-03-31 02:14:39
80,Jamestown,US,42.097,-79.2353,53.19,34,0,12.66,clear sky,2022-03-31 02:12:14
81,Campbell River,CA,50.0163,-125.2446,46.45,80,100,5.1,overcast clouds,2022-03-31 02:14:40
82,Puerto Colombia,CO,10.9878,-74.9547,80.69,84,67,23.09,broken clouds,2022-03-31 02:14:40
83,Pangody,RU,65.85,74.4859,9.95,85,69,22.08,broken clouds,2022-03-31 02:14:41
84,Grand Gaube,MU,-20.0064,57.6608,79.38,73,54,13.0,broken clouds,2022-03-31 02:14:41
85,Ponta Do Sol,PT,32.6667,-17.1,60.71,77,1,3.56,clear sky,2022-03-31 02:14:42
86,Butaritari,KI,3.0707,172.7902,81.05,70,1,8.86,clear sky,2022-03-31 02:14:42
87,Ahipara,NZ,-35.1667,173.1667,73.17,60,22,5.03,few clouds,2022-03-31 02:14:42
88,Cherlak,RU,54.155,74.8055,35.64,83,99,20.62,overcast clouds,2022-03-31 02:14:43
89,Pacific Grove,US,36.6177,-121.9166,59.02,79,100,9.22,overcast clouds,2022-03-31 02:14:43
90,Pahrump,US,36.2083,-115.9839,71.65,21,100,5.01,overcast clouds,2022-03-31 02:10:41
91,Srednekolymsk,RU,67.45,153.6833,3.42,83,98,6.15,overcast clouds,2022-03-31 02:14:44
92,Haines Junction,CA,60.7522,-137.5108,35.02,85,100,1.39,overcast clouds,2022-03-31 02:14:44
93,Rawson,AR,-43.3002,-65.1023,51.49,60,54,3.56,broken clouds,2022-03-31 02:10:13
94,Hilo,US,19.7297,-155.09,76.73,87,100,12.66,heavy intensity rain,2022-03-31 02:10:20
95,Kapaa,US,22.0752,-159.319,80.58,77,20,11.5,few clouds,2022-03-31 02:14:45
96,Lumeje,AO,-11.55,20.7833,63.75,95,100,1.16,overcast clouds,2022-03-31 02:11:17
97,North Bend,US,43.4065,-124.2243,52.92,85,20,9.22,few clouds,2022-03-31 02:14:46
98,Srandakan,ID,-7.9386,110.2506,84.31,67,83,1.48,broken clouds,2022-03-31 02:14:47
