City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Avarua,CK,86.05,scattered clouds,-21.2078,-159.775,Paradise Inn
2,Atuona,PF,79.07,scattered clouds,-9.8,-139.0333,Villa Enata
16,Rikitea,PF,78.37,light rain,-23.1203,-134.9692,People ThankYou
17,Acarau,BR,78.44,overcast clouds,-2.8856,-40.12,castelo pizzaria
19,Coolum Beach,AU,82.35,broken clouds,-26.5333,153.1,Coolum Beach Resort
28,Victoria,HK,82.45,clear sky,22.2855,114.1577,Mini Hotel Central
30,Bonthe,SL,78.17,clear sky,7.5264,-12.505,Bonthe Holiday Village
32,Arraial Do Cabo,BR,76.48,clear sky,-22.9661,-42.0278,Pousada Porto Praia
36,Busselton,AU,75.36,scattered clouds,-33.65,115.3333,Observatory Guest House
41,Puerto Ayora,EC,75.54,moderate rain,-0.7393,-90.3518,Finch Bay Galapagos Hotel
47,Saint-Philippe,RE,78.39,overcast clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
48,San Patricio,US,79.93,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
56,Tual,ID,80.49,moderate rain,-5.6667,132.75,Grand Vilia Hotel
57,Charters Towers,AU,89.65,scattered clouds,-20.1,146.2667,Cattleman's Rest Motor Inn
62,Mahebourg,MU,79.25,light rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
63,Hithadhoo,MV,82.45,clear sky,-0.6,73.0833,Scoop Guest House
65,Bengkulu,ID,82.26,scattered clouds,-3.8004,102.2655,Grage Hotel Bengkulu
66,Bambanglipuro,ID,84.18,broken clouds,-7.95,110.2833,Puri Brata
70,Kudahuvadhoo,MV,82.08,clear sky,2.6708,72.8944,Niyama Private Islands Maldives
72,Kavieng,PG,84.11,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
74,Georgetown,MY,85.95,few clouds,5.4112,100.3354,Cititel Penang
77,Alwar,IN,81.82,clear sky,27.5667,76.6,Hotel Saroop Vilas Palace
78,Singaraja,ID,85.28,scattered clouds,-8.112,115.0882,Puri Bagus Lovina Resort
79,Maceio,BR,76.44,scattered clouds,-9.6658,-35.7353,Hotel Ponta Verde Maceió
82,Puerto Colombia,CO,80.69,broken clouds,10.9878,-74.9547,Hotel El Emigrante
84,Grand Gaube,MU,79.38,broken clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
86,Butaritari,KI,81.05,clear sky,3.0707,172.7902,Isles Sunset Lodge
94,Hilo,US,76.73,heavy intensity rain,19.7297,-155.09,Hilo Hawaiian Hotel
95,Kapaa,US,80.58,few clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
98,Srandakan,ID,84.31,broken clouds,-7.9386,110.2506,Puri Brata
100,Carnarvon,AU,80.67,light rain,-24.8667,113.6333,Hospitality Carnarvon
105,Teknaf,BD,82.69,clear sky,20.8624,92.3058,Forestry Guesthouse
107,Thinadhoo,MV,82.06,few clouds,0.5333,72.9333,
116,Vaini,TO,84.36,broken clouds,-21.2,-175.2,Keleti Beach Resort
117,Kahului,US,80.62,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
121,Vila Velha,BR,78.75,clear sky,-20.3297,-40.2925,Hotel Vitória Palace
127,Anupgarh,IN,76.53,clear sky,29.1911,73.2086,Sonu Bansal
128,Ubala,CO,79.84,overcast clouds,4.7478,-72.5369,HATO SANTA LETICIA
129,Emerald,AU,89.35,clear sky,-23.5333,148.1667,The Irish Village
136,Ilhabela,BR,78.08,heavy intensity rain,-23.7781,-45.3581,Ilha Flat Hotel
140,Sinnamary,GF,76.28,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
142,Sao Joao Da Barra,BR,76.6,clear sky,-21.6403,-41.0511,Pousada Porto De Canoas
143,Samarai,PG,85.3,few clouds,-10.6167,150.6667,Nuli Sapi
150,Alofi,NU,84.09,broken clouds,-19.0595,-169.9187,Taloa Heights
155,Muli,MV,82.29,clear sky,2.9167,73.5667,Medhufushi Island Resort
161,Mayumba,GA,76.26,overcast clouds,-3.432,10.6554,LIKWALE LODGE
168,Sorong,ID,83.37,overcast clouds,-0.8833,131.25,Waigo Splash Hotel
169,Geraldton,AU,84.61,overcast clouds,-28.7667,114.6,Broadwater Mariner Resort
170,Tabuk,PH,84.42,overcast clouds,17.4189,121.4443,Golden Berries Hotel and Convention
183,Naguabo,PR,76.82,broken clouds,18.2116,-65.7349,Rodríguez Apartments & Doña Ana Resorts
184,Axim,GH,80.08,broken clouds,4.8699,-2.2405,Axim Beach Resort And Spa
187,Karratha,AU,88.45,light rain,-20.7377,116.8463,ibis Styles Karratha
200,Meulaboh,ID,79.47,broken clouds,4.1363,96.1285,Kost Pria
208,Neiafu,TO,83.08,light rain,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
210,Sabang,ID,81.91,broken clouds,5.8933,95.3214,Hotel Citra
211,Souillac,MU,75.58,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
216,Isangel,VU,84.16,overcast clouds,-19.55,169.2667,Tanna Lodge
217,Koumac,NC,86.4,scattered clouds,-20.5667,164.2833,Le Monitel
219,The Valley,AI,78.66,few clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
228,Huntington,US,77.9,clear sky,38.4193,-82.4452,Ramada Limited Huntington
235,Vao,NC,79.23,clear sky,-22.6667,167.4833,Hotel Kou-Bugny
238,Dhidhdhoo,MV,83.01,broken clouds,6.8833,73.1,Dhidhoo beach
247,Faanui,PF,82.49,few clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
251,Touros,BR,79.38,overcast clouds,-5.1989,-35.4608,INN NEW HORIZON
