City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Santa Isabel Do Rio Negro,BR,2022-03-19 03:29:50,-0.4139,-65.0192,73.83,97,95,2.26
1,Beihai,CN,2022-03-19 03:29:51,21.4833,109.1,75.04,82,18,8.99
2,Hinche,HT,2022-03-19 03:29:52,19.15,-72.0167,76.39,69,66,1.77
3,Rikitea,PF,2022-03-19 03:29:52,-23.1203,-134.9692,80.51,72,40,8.14
4,Bataipora,BR,2022-03-19 03:29:53,-22.2953,-53.2711,71.62,97,100,0.74
5,Avarua,CK,2022-03-19 03:29:54,-21.2078,-159.775,84.25,70,80,6.91
6,Castro,BR,2022-03-19 03:29:55,-24.7911,-50.0119,65.68,93,92,3.2
7,Cape Town,ZA,2022-03-19 03:25:04,-33.9258,18.4232,66.11,82,0,11.5
8,Butaritari,KI,2022-03-19 03:29:57,3.0707,172.7902,81.1,80,20,20.6
9,Ushuaia,AR,2022-03-19 03:27:10,-54.8,-68.3,35.26,87,20,9.22
10,New Norfolk,AU,2022-03-19 03:29:58,-42.7826,147.0587,72.88,30,6,1.01
11,Muravlenko,RU,2022-03-19 03:29:59,63.7898,74.523,18.93,97,100,17.29
12,Mahebourg,MU,2022-03-19 03:30:00,-20.4081,57.7,80.26,94,40,2.3
13,La Ronge,CA,2022-03-19 03:30:00,55.1001,-105.2842,34.05,69,20,0.0
14,Beaverlodge,CA,2022-03-19 03:30:02,55.2166,-119.4361,34.95,69,29,0.47
15,Port Macquarie,AU,2022-03-19 03:25:54,-31.4333,152.9167,73.89,83,75,6.91
16,Coos Bay,US,2022-03-19 03:30:03,43.3665,-124.2179,51.93,92,0,9.22
17,Atuona,PF,2022-03-19 03:30:04,-9.8,-139.0333,78.82,77,6,15.26
18,Cidreira,BR,2022-03-19 03:30:06,-30.1811,-50.2056,75.25,80,100,6.2
19,Isangel,VU,2022-03-19 03:30:07,-19.55,169.2667,82.9,75,99,4.56
20,Show Low,US,2022-03-19 03:30:08,34.2542,-110.0298,43.09,28,0,0.0
21,Port Augusta,AU,2022-03-19 03:30:09,-32.5,137.7667,93.78,29,72,6.6
22,Aleksandrovsk-Sakhalinskiy,RU,2022-03-19 03:30:09,50.8975,142.1561,27.91,89,100,6.26
23,Rocha,UY,2022-03-19 03:30:10,-34.4833,-54.3333,54.7,69,69,11.3
24,Bluff,NZ,2022-03-19 03:30:11,-46.6,168.3333,72.81,69,33,16.08
25,Hobart,AU,2022-03-19 03:29:07,-42.8794,147.3294,73.22,51,20,10.36
26,Sambava,MG,2022-03-19 03:30:13,-14.2667,50.1667,77.81,89,100,3.0
27,Upernavik,GL,2022-03-19 03:30:14,72.7868,-56.1549,-17.09,77,99,7.92
28,Vaini,TO,2022-03-19 03:30:15,-21.2,-175.2,81.61,78,100,24.52
29,Dikson,RU,2022-03-19 03:30:16,73.5069,80.5464,17.22,87,55,23.64
30,Hermanus,ZA,2022-03-19 03:30:16,-34.4187,19.2345,68.81,90,12,10.33
31,Komsomolskiy,UZ,2022-03-19 03:30:17,40.4272,71.7189,38.12,87,100,6.91
32,Kruisfontein,ZA,2022-03-19 03:30:18,-34.0033,24.7314,62.94,88,100,1.52
33,Cap Malheureux,MU,2022-03-19 03:30:19,-19.9842,57.6142,80.47,91,65,1.01
34,Lovozero,RU,2022-03-19 03:30:20,68.005,35.0117,24.3,72,4,9.44
35,Busselton,AU,2022-03-19 03:30:21,-33.65,115.3333,63.9,64,100,15.59
36,Gobabis,NA,2022-03-19 03:30:21,-22.45,18.9667,62.11,88,100,9.78
37,San Rafael Del Sur,NI,2022-03-19 03:30:22,11.8485,-86.4384,81.57,67,98,10.6
38,Punta Arenas,CL,2022-03-19 03:30:23,-53.15,-70.9167,39.31,75,0,5.75
